name,latitude,longitude,free_bikes,empty_slots,total_bikes,usage_percentage
Benjamin Godard - Victor Hugo,48.865983,2.275725,2,33,35,0.9428571428571428
André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,17,37,54,0.6851851851851852
Faubourg Du Temple - Republique,48.867872484749,2.3648982158072,7,30,37,0.8108108108108109
Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,4,16,20,0.8
Toudouze - Clauzel,48.87929591733507,2.3373600840568547,0,21,21,1.0
Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,6,13,19,0.6842105263157895
Mairie du 12ème,48.840855311763,2.3875549435616,27,2,29,0.06896551724137931
Square Boucicaut,48.851296433665276,2.325061820447445,8,51,59,0.864406779661017
Harpe - Saint-Germain,48.851518815017,2.3436703160405,13,28,41,0.6829268292682927
Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,13,25,38,0.6578947368421053
Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,10,24,34,0.7058823529411765
Alibert - Jemmapes,48.871044051984,2.3661044619878,20,40,60,0.6666666666666666
Caumartin - Provence,48.874422773426545,2.3284685611724854,5,17,22,0.7727272727272727
Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,4,21,25,0.84
Saint-Sulpice,48.85165383178419,2.3308077827095985,2,17,19,0.8947368421052632
Raspail - Varenne,48.853147816545,2.3263905197382,11,7,18,0.3888888888888889
Lacépède - Monge,48.84389286531899,2.3519663885235786,7,15,22,0.6818181818181818
Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,2,15,17,0.8823529411764706
André Karman - République,48.91039875761846,2.3851355910301213,21,9,30,0.3
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12,15,27,0.5555555555555556
Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,8,41,49,0.8367346938775511
Silly - Galliéni,48.835583838706,2.2325500845909,22,3,25,0.12
Le Brun - Gobelins,48.835092787824,2.3534681351338,12,35,47,0.7446808510638298
Gare du Nord - Place de Valenciennes,48.879089,2.354235,4,21,25,0.84
Grande Armée - Brunel,48.876116,2.288124,6,52,58,0.896551724137931
Génie - Mozart,48.794902381218904,2.3734183609485626,9,10,19,0.5263157894736842
Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,3,12,15,0.8
Froment - Bréguet,48.8570414504784,2.37289470306807,23,18,41,0.43902439024390244
Notre-Dame-des-Champs - Stanislas,48.84479928858768,2.329337755887181,5,13,18,0.7222222222222222
Morillons - Dantzig,48.83310149953933,2.299380004405976,24,27,51,0.5294117647058824
Grenelle - Dr Finlay,48.851315406715976,2.2919502854347233,24,47,71,0.6619718309859155
Chazelles - Courcelles ,48.879406604954,2.3034455627202988,13,19,32,0.59375
Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,7,25,32,0.78125
Ramponeau - Belleville,48.871031137596,2.379056852114,11,30,41,0.7317073170731707
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,3,18,21,0.8571428571428571
Romainville - Vaillant-Couturier,48.86785,2.446748,4,33,37,0.8918918918918919
Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,3,12,15,0.8
Liberté - Vert-de-Maisons,48.790147809608,2.4328628182411,6,14,20,0.7
Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,25,4,29,0.13793103448275862
Bir Hakeim,48.853844054333514,2.289705348222022,13,17,30,0.5666666666666667
Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,26,3,29,0.10344827586206896
Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,21,20,41,0.4878048780487805
De Toqueville - Terrasse,48.882428,2.314002,4,26,30,0.8666666666666667
Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,2,20,22,0.9090909090909091
Lagny - Victor Basch,48.84884147189881,2.426325418925233,13,13,26,0.5
Serrurier,48.8804934032465,2.39806417375803,0,18,18,1.0
Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,18,5,23,0.21739130434782608
Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,11,14,25,0.56
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,1,23,24,0.9583333333333334
Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,5,17,22,0.7727272727272727
Boétie - Ponthieu,48.871417284355,2.3076787590981,0,33,33,1.0
Custine - Ramey,48.888735896947,2.3469526693225,25,16,41,0.3902439024390244
Pyrénées - Ménilmontant,48.8693268535238,2.395084574818611,12,13,25,0.52
Caire - Dussoubs,48.86785342111862,2.349364310503006,3,36,39,0.9230769230769231
Tour d'Auvergne - Rodier,48.879161,2.343698,3,13,16,0.8125
Assemblée Nationale,48.861411014652,2.3201214185208,4,57,61,0.9344262295081968
Dunkerque - Alsace,48.879355,2.358379,8,11,19,0.5789473684210527
Liard - Amiral Mouchez,48.8214169,2.342167,13,1,14,0.07142857142857142
Gabriel Lamé,48.8351212784276,2.385534569621086,35,0,35,0.0
Las Cases - Bourgogne,48.859091104741,2.3185685276985,5,16,21,0.7619047619047619
Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,14,11,25,0.44
Jonquière - Docteur Paul Brousse,48.894799816683985,2.318705212173216,27,13,40,0.325
Square Louis XVI,48.87320440102894,2.323658830743138,5,24,29,0.8275862068965517
Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,4,18,22,0.8181818181818182
Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,3,17,20,0.85
Ney - Porte de Clignancourt,48.8978867,2.3458001,0,25,25,1.0
Gay Lussac - Saint-Jacques,48.844730256132095,2.341923944866407,0,24,24,1.0
Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,15,35,50,0.7
Place Georges Guillaumin,48.874750203956566,2.301771435325988,9,16,25,0.64
Bellefond - Poissonnière,48.87759897050706,2.348463758826256,8,9,17,0.5294117647058824
Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,11,10,21,0.47619047619047616
Alexandre Parodi - Quai de Valmy,48.87935941942529,2.366596162319184,8,15,23,0.6521739130434783
Ségur - d'Estrées,48.851419978983,2.3097044974566,13,6,19,0.3157894736842105
Granges aux Belles,48.8761373390584,2.3680844979417,11,15,26,0.5769230769230769
Regnault - Patay,48.82435782216384,2.377065159380436,50,12,62,0.1935483870967742
Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,15,29,44,0.6590909090909091
Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,1,45,46,0.9782608695652174
